"behavior","cluster_id","cluster_label"
"hide under the desk","20","to sit"
"read the menu","25","to serve food"
"go to bed without showering","30","to sleep"
"carry a banner","34","to engage with the art community"
"run through the rooms","33","to enter spaces"
"give thanks to the ancestors","8","to participate in religious practices"
"thank someone for shopping","43","to engage in store operations"
"sing into the microphone","39","to make loud noises"
"lean back in the chair","20","to sit"
"use gps","7",""
"taking photos","19","to take photos"
"tamper with equipment","16","to interact with objects"
"use a staff","7",""
"wear crocs","22","to wear"
"lean on the glass cases","16","to interact with objects"
"show off","34","to engage with the art community"
"crawl under the desk to plug in the printer","16","to interact with objects"
"use your elbows or forearms to massage someone","44","to touch someone"
"follow the map","10","to move around"
"suggest music to customers","13",""
"lead students through a cool-down","15","to interact with others"
"put your feet on the seat","20","to sit"
"wear false eyelashes","22","to wear"
"see yourself in the mirror","38","to look"
"wear overalls","22","to wear"
"dispose of a cigarette butt","0","to use fire"
"dance the foxtrot","45","to dance"
"racing","3","to drive"
"light candles or burn incense","0","to use fire"
"bring your partner","28","to bring items"
"eat in your bed","30","to sleep"
"play with dolls","16","to interact with objects"
"block the buttons","33","to enter spaces"
"go without a light","46","to be in the dark"
"wear spurs","22","to wear"
"shoot a gun","18","to play"
"climb on rocks","4","to climb"
"put up a flag or banner of kind","34","to engage with the art community"
"stand on your head","20","to sit"
"openly talk about your political views","42","to discuss"
"send a text","26","to perform tasks"
"give a child a haircut","37","to style"
"use imitation butter or margarine","47","to use cosmetics"
"ask to have the case adjourned","12","to ask for something"
"disinfect wounds","47","to use cosmetics"
"serve food and drinks","1","to consume beverages"
"get in the way of skiers","10","to move around"
"engage in religious rituals","8","to participate in religious practices"
"put up a poster","34","to engage with the art community"
"add salt to your food","32","to cook"
"ask the staff for favors","12","to ask for something"
"give someone a high five","44","to touch someone"
"sign a release form","26","to perform tasks"
"bring a water bottle","28","to bring items"
"stand up and wave your arms around","14","to use your hands"
"get everyone's attention","15","to interact with others"
"drink your coffee black","1","to consume beverages"
"listen to customer complaints","15","to interact with others"
"argue with officials","9","to express negative emotions"
"testify","49","to interact"
"leave shoes out","11","to leave"
"climb a gravestone","4","to climb"
"mop","24","to clean"
"ignore the telephone","48","to use a phone"
"asking someone to touch you in a sexual way","44","to touch someone"
"get on a ferris wheel","3","to drive"
"do a presentation","49","to interact"
"walk with a cane","10","to move around"
"flapping hands","14","to use your hands"
"cook pork","32","to cook"
"float on your stomach","5","to be in water"
"use a walker","10","to move around"
"drive a car up the mountain","3","to drive"
"ask for free games","12","to ask for something"
"leave a child unattended","41","to care for children"
"own a gun","28","to bring items"
"leave dishes in the sink","24","to clean"
"sit alone","40","to go"
"bake a cake without flour","32","to cook"
"have an altar","8","to participate in religious practices"
"laugh out loud","29","to engage in humorous activities"
"put your personal belongings on someone else's locker","44","to touch someone"
"drink beverages","1","to consume beverages"
"take a child's toy away from them","41","to care for children"
"throw a baseball at someone","18","to play"
"use a comb","7",""
"write a report","26","to perform tasks"
"bring a beach umbrella","28","to bring items"
"operate a boutique","43","to engage in store operations"
"play drums","13",""
"go to bed without first putting on your silk nightgown","30","to sleep"
"dance with someone of the opposite sex","45","to dance"
"watch a happy movie","38","to look"
"flirt with a patient","17","to engage in sexual activities"
"step other people's mats","44","to touch someone"
"administer a prophylactic dose of factor viii","47","to use cosmetics"
"waste time on social media","48","to use a phone"
"ask for help from the librarian","12","to ask for something"
"leave your room","11","to leave"
"carry a placard with an anti-government message","34","to engage with the art community"
"hum","13",""
"give a child a kiss","41","to care for children"
"pet a tiger","35","to interact with animals"
"using drugs or alcohol","1","to consume beverages"
"serve alcohol to someone","1","to consume beverages"
"wear closed-toe shoes","22","to wear"
"swim without a life jacket","5","to be in water"
"buy something made with artificial flavors or colors","2","to buy"
"chase the pigs","35","to interact with animals"
"bend down to pick up something","16","to interact with objects"
"interrupt another's performance","9","to express negative emotions"
"talk about your poverty","42","to discuss"
"bend over the sink to wash dishes","24","to clean"
"accept a drink from a stranger","1","to consume beverages"
"write on a chalkboard","26","to perform tasks"
"play with your jewelry","16","to interact with objects"
"sleep through your alarm","30","to sleep"
"dance the polka","45","to dance"
"ask the driver to turn down the radio","3","to drive"
"use napkins","7",""
"compare your own experiences to others in the room","38","to look"
"reach for things on high shelves","43","to engage in store operations"
"leave the bathroom door unlocked","33","to enter spaces"
"admire someone's clothing","22","to wear"
"wrap meat","32","to cook"
"eat smelly food","25","to serve food"
"alter a prescription","15","to interact with others"
"ask for a sample","12","to ask for something"
"answer patient questions","12","to ask for something"
"help maintain the space","43","to engage in store operations"
"go to bed without first doing your skincare routine","30","to sleep"
"setting up and conducting interviews","49","to interact"
"check identification","23","to check"
"mow the lawn in a bikini","21","to care for plants"
"buy a car on the sabbath","3","to drive"
"introduce invasive species","21","to care for plants"
"breathe fire","0","to use fire"
"stop to smell the roses","21","to care for plants"
"write down the wrong results of your experiments","26","to perform tasks"
"hang out the window","33","to enter spaces"
"cheer for the opponents","9","to express negative emotions"
"have a deep conversation with someone","49","to interact"
"pay for class","15","to interact with others"
"ask someone to line up in a row","12","to ask for something"
"step on another person","44","to touch someone"
"touch the instruments","13",""
"count to 100","15","to interact with others"
"buy a suggestive t-shirt","2","to buy"
"put your head on it","20","to sit"
"bake with hydrogenated oils","32","to cook"
"give confidential information to someone","49","to interact"
"leave a fire unattended","0","to use fire"
"play in bare feet","18","to play"
"keep your shoes on","6","to manage clothing"
"climb on the furniture","4","to climb"
"touch food with your bare hands","14","to use your hands"
"lift heavy bags of flour","16","to interact with objects"
"pretend to faint","29","to engage in humorous activities"
"create art","34","to engage with the art community"
"lift heavy items","16","to interact with objects"
"handle a snake","35","to interact with animals"
"put your body on it","20","to sit"
"play a female character","18","to play"
"apply for a loan","12","to ask for something"
"eat a hotdog","31","to eat"
"wear pajamas in public","22","to wear"
"lean on the ropes","4","to climb"
"flap your arms like wings","14","to use your hands"
"eat cake batter","31","to eat"
"walk around without an umbrella","10","to move around"
"eat something high in sugar","31","to eat"
"boo the performers","9","to express negative emotions"
"enlist in the army","15","to interact with others"
"make your bed","30","to sleep"
"play without a caddy","18","to play"
"pay with a card","15","to interact with others"
"write reports","26","to perform tasks"
"offer blood sacrifices","8","to participate in religious practices"
"set up a slip and slide","16","to interact with objects"
"wear a flag as a cape","22","to wear"
"wear a shirt with a political message on it","22","to wear"
"leave the court","11","to leave"
"water the plants with sea water","21","to care for plants"
"use the space as a office","7",""
"help with takeoff and landing","4","to climb"
"giggle","29","to engage in humorous activities"
"run on a treadmill","10","to move around"
"stand on a chair to get a better view","20","to sit"
"cut off another driver","3","to drive"
"collect tickets","15","to interact with others"
"decorate","34","to engage with the art community"
"examine the area for signs of pests","23","to check"
"paint the car","3","to drive"
"take pictures of someone","19","to take photos"
"kill a spider","16","to interact with objects"
"sit in the back","20","to sit"
"stand on the bed","30","to sleep"
"pick your skin","47","to use cosmetics"
"leave trash or debris on the ground","11","to leave"
"wear a uniform","22","to wear"
"have a wild party","17","to engage in sexual activities"
"leave chopsticks sticking up in the food","25","to serve food"
"pick a flower","21","to care for plants"
"use a plastic straw","7",""
"talk about your relationship","42","to discuss"
"talk to the people around you","49","to interact"
"bring boxing gloves","28","to bring items"
"use toilet cleaner","24","to clean"
"communicate with the players","49","to interact"
"breathe in and out deeply","36","to use the mouth"
"apply mulch","21","to care for plants"
"scream at the top of your lungs","39","to make loud noises"
"be very careful to avoid cuts or scrapes","16","to interact with objects"
"be drunk","1","to consume beverages"
"leave garbage inside","11","to leave"
"roll down the window","33","to enter spaces"
"bring drinks to customers","1","to consume beverages"
"flash the audience","9","to express negative emotions"
"get a divorce","17","to engage in sexual activities"
"watch porn","17","to engage in sexual activities"
"taste the soil","21","to care for plants"
"offer sacrifices","8","to participate in religious practices"
"dance the cueca","45","to dance"
"label the animals","35","to interact with animals"
"compare yourself to someone else's body","44","to touch someone"
"open food to eat it in the store","43","to engage in store operations"
"run in the rain","5","to be in water"
"write a note","26","to perform tasks"
"lean against a tree","20","to sit"
"lie down on the floor","27","to lie on the floor"
"kiss someone passionately","44","to touch someone"
"become a resident assistant","15","to interact with others"
"leave food or drink lying around","11","to leave"
"wear a beanie","22","to wear"
"apply a topical hemostatic agent","47","to use cosmetics"
"prune the plants","21","to care for plants"
"feed the animals unhealthy food","35","to interact with animals"
"wear a lot of jewelry","22","to wear"
"rappel down the mountain","4","to climb"
"ask for advice about stds","12","to ask for something"
"jumping on the bed","30","to sleep"
"give the customer their change","15","to interact with others"
"give concerts","13",""
"give someone a dirty look","44","to touch someone"
"cook with bat meat","32","to cook"
"ask to speak to a manager","49","to interact"
"ask someone to switch seats with you","12","to ask for something"
"gamble","18","to play"
"have a funeral service","8","to participate in religious practices"
"fly","10","to move around"
"bring a beverage","1","to consume beverages"
"stand in the middle of the road","3","to drive"
"block the entrance to the train","33","to enter spaces"
"answer the door","33","to enter spaces"
"call out the rounds","18","to play"
"leave water out","5","to be in water"
"stay up all night","30","to sleep"
"attempt to summit","4","to climb"
"wear a wetsuit","22","to wear"
"sit in the best seats","20","to sit"
"stand for the national anthem","34","to engage with the art community"
"climb on the washing machine","4","to climb"
"have a cigarette","0","to use fire"
"have a car wash","3","to drive"
"set fire to junk","0","to use fire"
"see a doctor","23","to check"
"add salt to another person's coffee","44","to touch someone"
"accept gifts from interested parties","2","to buy"
"play in the aisles","43","to engage in store operations"
"go for a hike alone","40","to go"
"brush a baby's teeth","41","to care for children"
"check for cracks or divots in the lane","23","to check"
"select and assign stories to reporters","26","to perform tasks"
"snore","30","to sleep"
"carry a ski pole","28","to bring items"
"go in a bumper car","3","to drive"
"expose film to light","46","to be in the dark"
"hide in the dark","46","to be in the dark"
"buy funnel cake","2","to buy"
"push through the crowd","9","to express negative emotions"
"light yourself on fire","0","to use fire"
"leave your mat behind","11","to leave"
"check the weather","23","to check"
"go into the sacristy","33","to enter spaces"
"wear fragrances or perfumes","47","to use cosmetics"
"use profanity","9","to express negative emotions"
"dance on a stage","45","to dance"
"ski on beginner slopes","10","to move around"
"talk while eating","49","to interact"
"use a waterbed","5","to be in water"
"put your elbows on the armrests","20","to sit"
"clean the lanes","24","to clean"
"touch the scoreboard","18","to play"
"wear yoga pants","22","to wear"
"ride as a passenger","3","to drive"
"recite the alphabet","26","to perform tasks"
"leave the consultation room","11","to leave"
"suck on the dental tools","36","to use the mouth"
"travel","10","to move around"
"talk about god","42","to discuss"
"keep a bunsen burner on","0","to use fire"
"wear a fanny pack","22","to wear"
"wear clothing made of wool","22","to wear"
"lock the doors and close up shop","33","to enter spaces"
"leave your children unattended","41","to care for children"
"leave without buying something","11","to leave"
"bring a jacket","28","to bring items"
"accept a ride from a stranger","3","to drive"
"address a postal worker","15","to interact with others"
"have a cooler","28","to bring items"
"write down your score","26","to perform tasks"
"eat with your fingers","14","to use your hands"
"wear baggy pants","22","to wear"
"riding on the back of an elephant","35","to interact with animals"
"read blueprints","26","to perform tasks"
"go behind the waterfall","5","to be in water"
"teach injury prevention classes","15","to interact with others"
"read out loud","39","to make loud noises"
"use a lighter","0","to use fire"
"create a record of the meeting","49","to interact"
"run with a stroller","10","to move around"
"chase people around","10","to move around"
"wear a dental gown","22","to wear"
"bring your own massage oil","28","to bring items"
"smile","29","to engage in humorous activities"
"use strong perfumes or scented candles","47","to use cosmetics"
"end your life through assisted suicide","17","to engage in sexual activities"
"flirt with an athlete","18","to play"
"speak loudly on the phone","39","to make loud noises"
"get out of your car","3","to drive"
"build something","34","to engage with the art community"
"work in the air traffic control tower","15","to interact with others"
"prepare the store budget","43","to engage in store operations"
"buy pork products","2","to buy"
"travel up a river","5","to be in water"
"educate patients and families about alcohol use disorder","1","to consume beverages"
"install cabinets","16","to interact with objects"
"dance the traditional dances","45","to dance"
"lift more than your body weight","4","to climb"
"bribing an athlete to ""throw"" a game","18","to play"
"name the planets","26","to perform tasks"
"look for suspicious activity","23","to check"
"get on social media","19","to take photos"
"bring your partner to work with you","15","to interact with others"
"open the emergency exit","33","to enter spaces"
"put a weapon on it","34","to engage with the art community"
"play chicken","18","to play"
"make a scene","17","to engage in sexual activities"
"bump into people","44","to touch someone"
"drink something other than water","1","to consume beverages"
"ask the taxi driver to turn on the air conditioning","3","to drive"
"put someone in a headlock","44","to touch someone"
"leaving the store unsecured","43","to engage in store operations"
"wave a confederate flag","34","to engage with the art community"
"dance around in a circle","45","to dance"
"give someone a compliment","44","to touch someone"
"be in close proximity to moving vehicles","3","to drive"
"use someone else's locker","44","to touch someone"
"dissect a frog","5","to be in water"
"checking the brakes","23","to check"
"complain to the workers","15","to interact with others"
"buy a snack","31","to eat"
"hit the ball against the wall","18","to play"
"leave trash on the floor","27","to lie on the floor"
"vote","9","to express negative emotions"
"stand in front of an artwork for an extended period of time without looking at it","38","to look"
"use a stopwatch","23","to check"
"add more chlorine to the water","5","to be in water"
"touch the paintings","34","to engage with the art community"
"walk in without knocking","33","to enter spaces"
"collect fares","15","to interact with others"
"discharge their weapon","17","to engage in sexual activities"
"eat off of paper plates","31","to eat"
"have more than one person there at a time","15","to interact with others"
"cash a check","26","to perform tasks"
"talking to the police","49","to interact"
"bake a cake","32","to cook"
"throw money","2","to buy"
"play with the lollipops","18","to play"
"use a disposable razor","7",""
"use a sauna","7",""
"grab food off of someone's plate","25","to serve food"
"keep track of the score","23","to check"
"answer personal email during work hours","15","to interact with others"
"touch the altar objects","8","to participate in religious practices"
"take a shower with someone","44","to touch someone"
"keep order in the courtroom","15","to interact with others"
"ask the person in front of you to hurry up","10","to move around"
"read the quran","26","to perform tasks"
"force an animal to mate","35","to interact with animals"
"use a cochlear implant","7",""
"use perfumed oils or lotions","47","to use cosmetics"
"hit yourself","44","to touch someone"
"climb on a chair","4","to climb"
"bring your backpack","28","to bring items"
"roll a gutter ball","18","to play"
"read over the police report","23","to check"
"swim with sharks","5","to be in water"
"appreciate art","34","to engage with the art community"
"leave cigarette butts on the floor","27","to lie on the floor"
"use strong perfumes or scented products","47","to use cosmetics"
"eat fried foods","31","to eat"
"keep a straight face","38","to look"
"bring someone drinks","1","to consume beverages"
"climb on top of the bar","4","to climb"
"climb on the bed","30","to sleep"
"punch a hole in the wall","34","to engage with the art community"
"race someone","44","to touch someone"
"put a collar on a dog","35","to interact with animals"
"work on electrical equipment","16","to interact with objects"
"add new exhibits","34","to engage with the art community"
"take payments","15","to interact with others"
"appear angry or impatient","9","to express negative emotions"
"play frisbee on the quad","18","to play"
"go into the presidential office","33","to enter spaces"
"putting things in your mouth","36","to use the mouth"
"ask for a specific doctor by name","12","to ask for something"
"clean the carpets","24","to clean"
"give away all the merchandise for free","2","to buy"
"raise your voice in anger","9","to express negative emotions"
"do cardio","10","to move around"
"bring your own bowling shoes","28","to bring items"
"talk about your personal life with someone","42","to discuss"
"have a collection of preserved animals","35","to interact with animals"
"ask the taxi driver to help you with your homework","3","to drive"
"ask someone to dance for you","45","to dance"
"go bodyboarding","10","to move around"
"check someone's id","23","to check"
"pay for gas with pennies","2","to buy"
"stand in the corner","20","to sit"
"paint your face with your country's flag","34","to engage with the art community"
"drink heavily","1","to consume beverages"
"collect money from people for tickets","15","to interact with others"
"put your feet on the dashboard","20","to sit"
"go for a romantic walk with your significant other","10","to move around"
"talk about your job search","42","to discuss"
"ask to see the most expensive items","2","to buy"
"put your groceries in someone else's cart","43","to engage in store operations"
"blow your nose in your napkin","36","to use the mouth"
"stick out your thumb","14","to use your hands"
"ask the taxi driver to take a detour","3","to drive"
"jump out of the airplane","10","to move around"
"honk your horn","39","to make loud noises"
"buy cake","2","to buy"
"put your hands in a toilet","14","to use your hands"
"lean on the bar","4","to climb"
"burning sage","0","to use fire"
"cook bacon","32","to cook"
"pay your bill","15","to interact with others"
"leave food or drink unattended","11","to leave"
"lie down in the dirt","20","to sit"
"kick the tires","3","to drive"
"leave children unattended","41","to care for children"
"ignore a patient","15","to interact with others"
"use a dissecting tray","7",""
"go in the ocean","5","to be in water"
"put your child on the floor","27","to lie on the floor"
"play with the clothes","6","to manage clothing"
"order a salad","25","to serve food"
"refuse a customer","15","to interact with others"
"buy energy drinks","1","to consume beverages"
"pour wine on the ground","27","to lie on the floor"
"hang clothes over the edge","6","to manage clothing"
"drink from the river","1","to consume beverages"
"engage with people and answer their questions","49","to interact"
"boo the national anthem","9","to express negative emotions"
"follow a doctor's orders","15","to interact with others"
"walk around without your id","10","to move around"
"use your bare hand to flush the toilet","14","to use your hands"
"ask for a foreign made product","2","to buy"
"step on a grave","8","to participate in religious practices"
"wipe down table surfaces","24","to clean"
"dig up plants","21","to care for plants"
"ask to see every type of camera in the store","19","to take photos"
"wear a bandana","22","to wear"
"talking on the phone","48","to use a phone"
"ask for a lap dance","45","to dance"
"clean out a cage","24","to clean"
"discuss personal details with someone","49","to interact"
"dance the merengue","45","to dance"
"film or photograph someone","19","to take photos"
"scratch your head","36","to use the mouth"
"play with toys","16","to interact with objects"
"remove the monument","34","to engage with the art community"
"wear a long-sleeved shirt","22","to wear"
"throw a ball","18","to play"
"play","18","to play"
"pick a fight","9","to express negative emotions"
"paint the walls with graffiti","34","to engage with the art community"
"ask to close an account","12","to ask for something"
"make noises","39","to make loud noises"
"ask to step outside for some fresh air","10","to move around"
"use a toothpick","7",""
"assist with purchasing decisions","2","to buy"
"asking someone for food","25","to serve food"
"asking for a job","12","to ask for something"
"use utensils","7",""
"carry a heavy load by yourself","40","to go"
"show up early","15","to interact with others"
"operate a forklift","16","to interact with objects"
"chatting with co-workers about personal matters","49","to interact"
"monitor the aircraft's progress","23","to check"
"attempt to contact the dead","8","to participate in religious practices"
"bathe a baby","41","to care for children"
"block the aisle with your cart","43","to engage in store operations"
"clean the surfaces of the objects","24","to clean"
"count the tiles on the floor","27","to lie on the floor"
"send nudes to someone","17","to engage in sexual activities"
"lean back","20","to sit"
"carry multiple plates of food at once","25","to serve food"
"wear a wrinkled outfit","22","to wear"
"study for an exam","23","to check"
"touch the water","5","to be in water"
"wear a baseball cap","22","to wear"
"go into a dark cave","46","to be in the dark"
"look at pictures","19","to take photos"
"loudly talk to your friends","39","to make loud noises"
"sitting in the corner","20","to sit"
"stop the car and ask for directions","3","to drive"
"give tours","10","to move around"
"read the labels on the displays","26","to perform tasks"
"bring young children into the locker room","41","to care for children"
"play with fireworks","0","to use fire"
"damage the machines","16","to interact with objects"
"checking the engine","23","to check"
"use a crucifix","7",""
"sleep on your back","30","to sleep"
"walk in between the lanes","10","to move around"
"teach music","13",""
"investigate strange noises","23","to check"
"get on a swing","18","to play"
"jump off of lifts","4","to climb"
"put a musical instrument on the ground","13",""
"keep a copy of the bhagavad gita","26","to perform tasks"
"knit a scarf","22","to wear"
"use a grocery cart","43","to engage in store operations"
"go to class in your pajamas","6","to manage clothing"
"get a mammogram","23","to check"
"ask about someone's pronouns","12","to ask for something"
"monitor security cameras","23","to check"
"put the paper in the developer","26","to perform tasks"
"camping","0","to use fire"
"chase a chicken","35","to interact with animals"
"learn to count","26","to perform tasks"
"listen to music with headphones","13",""
"getting a carfax report","3","to drive"
"talk to someone about technology and the future","42","to discuss"
"buy clothes made of leather","2","to buy"
"buy someone food","25","to serve food"
"listen to the coach","49","to interact"
"weld","0","to use fire"
"kick things","16","to interact with objects"
"bathe or groom yourself","37","to style"
"check for safety hazards","23","to check"
"touch the ceiling","4","to climb"
"do your hair","37","to style"
"have a pillow fort","30","to sleep"
"cut yourself","37","to style"
"dress formally","22","to wear"
"chant or sing","39","to make loud noises"
"fill prescriptions","15","to interact with others"
"take photos of the merchandise","19","to take photos"
"make rude gestures","9","to express negative emotions"
"leave during savasana","11","to leave"
"put up posters of activists","34","to engage with the art community"
"bring snacks","28","to bring items"
"go to bed without taking your medication","30","to sleep"
"go to the restroom","33","to enter spaces"
"go whale watching","38","to look"
"cook with lard","32","to cook"
"throw things out the window","11","to leave"
"get a beard trim","37","to style"
"use a selfie stick","19","to take photos"
"use a drum","7",""
"hang pictures","19","to take photos"
"spank someone","44","to touch someone"
"lie on the bed","30","to sleep"
"monitor your blood sugar","23","to check"
"go in your pajamas","30","to sleep"
"go sledding","10","to move around"
"put a statue of jesus on it","34","to engage with the art community"
"buy a used item","2","to buy"
"take personal calls","48","to use a phone"
"get cosmetic surgery","47","to use cosmetics"
"leave toys out","11","to leave"
"send nude photos of yourself to someone","19","to take photos"
"bring up controversial topics like police brutality or affirmative action","42","to discuss"
"have anal sex","17","to engage in sexual activities"
"stand still","20","to sit"
"cook with vegetables","32","to cook"
"water the crops","21","to care for plants"
"wear a seatbelt","22","to wear"
"openly criticize the store's merchandise","43","to engage in store operations"
"have a knife and fork on the table","32","to cook"
"go to bed before 10pm","30","to sleep"
"wander off campus","10","to move around"
"use a hair dryer","37","to style"
"work out alone","40","to go"
"get a tattoo of something related to alcohol","34","to engage with the art community"
"order a drink ""on the rocks""","1","to consume beverages"
"get a body scrub","47","to use cosmetics"
"read old letters","26","to perform tasks"
"wear your tuxedo","22","to wear"
"turn off the engine","3","to drive"
"set up the buffet or food stations","25","to serve food"
"stop taking your medication","15","to interact with others"
"eat fast food","31","to eat"
"engage in kind of public display of affection","17","to engage in sexual activities"
"talk about your atheism with others","42","to discuss"
"put your fingers in your mouth","36","to use the mouth"
"clip your nails","14","to use your hands"
"argue with your significant other","42","to discuss"
"look through old pictures","19","to take photos"
"openly carry a gun","28","to bring items"
"buy only local food","25","to serve food"
"use a mobile phone","48","to use a phone"
"jump on the beds","30","to sleep"
"play with a toy","18","to play"
"sit in the fetal position","20","to sit"
"use someone else's razor","37","to style"
"hang upside down","4","to climb"
"put meat in the same bags as dairy","32","to cook"
"talk to the reporters","49","to interact"
"refuse medical treatment","15","to interact with others"
"step on the floor","27","to lie on the floor"
"install a tv","16","to interact with objects"
"give manicures","47","to use cosmetics"
"lose your temper with someone","9","to express negative emotions"
"go to a party alone","40","to go"
"watch a film about apartheid","38","to look"
"check cows for health problems","23","to check"
"bring skis","28","to bring items"
"use a whip","7",""
"bake cookies","32","to cook"
"get a mohawk","37","to style"
"drink the water from the hose","1","to consume beverages"
"cross yourself","17","to engage in sexual activities"
"give someone the wrong price","44","to touch someone"
"create designs on cakes using icing","32","to cook"
"leave the dishes in the sink","24","to clean"
"go in dark or enclosed spaces","46","to be in the dark"
"mop the floors","24","to clean"
"use the water fountain","5","to be in water"
"chewing gum","36","to use the mouth"
"ask for a mortgage","12","to ask for something"
"use electronic devices","7",""
"dance the rumba","45","to dance"
"go skiing","10","to move around"
"sit on the edge","20","to sit"
"farting loudly","39","to make loud noises"
"hike","10","to move around"
"place your children's toys on it","41","to care for children"
"avoid physical contact with others","44","to touch someone"
"serve drinks and snacks","1","to consume beverages"
"spray pesticides on your crops","21","to care for plants"
"breed animals for the purpose of selling them","35","to interact with animals"
"drink juice","1","to consume beverages"
"maintain the cleanliness of the space","24","to clean"
"put meat on the altar","8","to participate in religious practices"
"place your hands in a prayer position","14","to use your hands"
"put your children's pictures on it","19","to take photos"
"drive on shabbat","3","to drive"
"shut down the beach","5","to be in water"
"look through boxes","38","to look"
"talk about your period","42","to discuss"
"lasso a bull","35","to interact with animals"
"hide under a seat","20","to sit"
"use a bow and arrow","7",""
"disobey someone","9","to express negative emotions"
"blow your nose in public","36","to use the mouth"
"ask for a seat upgrade or get a better seat","12","to ask for something"
"eat sweets","31","to eat"
"ask for bbq sauce","32","to cook"
"give an interview to the media","49","to interact"
"bring in outside food and drink","1","to consume beverages"
"dance around it","45","to dance"
"look at your watch","38","to look"
"run with your hands behind your back","14","to use your hands"
"greet students","15","to interact with others"
"work out by yourself","40","to go"
"buy a crossbow","2","to buy"
"leave your skis unattended","11","to leave"
"share food with others","25","to serve food"
"get a chest wax","47","to use cosmetics"
"chop down a tree for firewood","0","to use fire"
"use a tampon","7",""
"use herbicides","21","to care for plants"
"dance the hustle","45","to dance"
"mopping","24","to clean"
"stare longingly at someone","38","to look"
"attend a youth conference","49","to interact"
"cut vegetables with a knife","32","to cook"
"hire and train staff","15","to interact with others"
"put milk in coffee","1","to consume beverages"
"use a paper straw","7",""
"make s'mores","32","to cook"
"water the plants during the day","21","to care for plants"
"lead students through a warm-up","15","to interact with others"
"keep track of inventory","43","to engage in store operations"
"wear a golf visor","22","to wear"
"get a spray tan","47","to use cosmetics"
"give a gift to someone without wrapping it first","44","to touch someone"
"order a drink","1","to consume beverages"
"harm a living creature","35","to interact with animals"
"use the word ""savage"" to describe someone","9","to express negative emotions"
"open the overhead bin","43","to engage in store operations"
"have a moat","5","to be in water"
"wear expensive jewelry","22","to wear"
"put your feet on furniture","20","to sit"
"wear strong perfume","47","to use cosmetics"
"display religious symbols or artifacts","34","to engage with the art community"
"wear a hospital gown","22","to wear"
"smash a mirror","16","to interact with objects"
"live there","10","to move around"
"clean up after the event","24","to clean"
"put a statue of lenin on it","34","to engage with the art community"
"bargain or haggle over prices","49","to interact"
"take food from someone else's plate","25","to serve food"
"walk out","33","to enter spaces"
"put a dog down","35","to interact with animals"
"advise the president on legal issues","15","to interact with others"
"keep a pet up there","35","to interact with animals"
"ask the driver to take a different route","3","to drive"
"welcome passengers on board","15","to interact with others"
"sitting in a corner by yourself","40","to go"
"take someone's order","44","to touch someone"
"park in the sun","46","to be in the dark"
"go into the deep end","5","to be in water"
"put your groceries in a backpack","43","to engage in store operations"
"get a tattoo of a god or goddess","34","to engage with the art community"
"use disposable products","7",""
"refusing to work","15","to interact with others"
"leave food inside","25","to serve food"
"cut vegetables and meat with the same knife","32","to cook"
"do physical training","10","to move around"
"block the doors from closing","33","to enter spaces"
"eat ice cream","31","to eat"
"argue with customers","9","to express negative emotions"
"tip less than 10%","15","to interact with others"
"climb on the table","4","to climb"
"enter the kitchen","33","to enter spaces"
"have sex with someone","17","to engage in sexual activities"
"stare at someone in a sexual way","38","to look"
"drink hot chocolate","1","to consume beverages"
"clean a gun","24","to clean"
"put your feet up on furniture","20","to sit"
"sell energy drinks","1","to consume beverages"
"throw a javelin","18","to play"
"genuflect","9","to express negative emotions"
"look around aimlessly","38","to look"
"step on people's mats","44","to touch someone"
"dance on the table","45","to dance"
"operate a ride","3","to drive"
"put on insect repellent","21","to care for plants"
"wearing pajamas","22","to wear"
"clean the headlights","24","to clean"
"ensure the safety and well-being of soldiers","15","to interact with others"
"use the same towel to dry your body and your face","47","to use cosmetics"
"slide on the court","18","to play"
"order a steak","32","to cook"
"climb the mast","4","to climb"
"climb on the cars","4","to climb"
"breathe on the glass","36","to use the mouth"
"hit the ball as hard as possible","18","to play"
"go down it in a barrel","5","to be in water"
"picking at the cupcakes","16","to interact with objects"
"jaywalking","10","to move around"
"build a swing set","18","to play"
"sleep in it","30","to sleep"
"wear casual clothing","22","to wear"
"hang clothes on the shower rod","6","to manage clothing"
"begging for money","15","to interact with others"
"organize","43","to engage in store operations"
"bake a cake with the words ""happy birthday""","32","to cook"
"ask for a private dance","45","to dance"
"calling out to friends from across the mall","15","to interact with others"
"flirt with a staff member","15","to interact with others"
"have a picture of the virgin mary","19","to take photos"
"change a baby's diaper","41","to care for children"
"use a tanning bed","47","to use cosmetics"
"take photos with a flash","19","to take photos"
"rent ski equipment","16","to interact with objects"
"have a separate area for men and women","17","to engage in sexual activities"
"diagnose or treat an animal without the consent of the animal's handler or the zoo's staff","35","to interact with animals"
"sell stamps","2","to buy"
"lie down on the ground","20","to sit"
"scare yourself","10","to move around"
"tell someone your symptoms","12","to ask for something"
"hold a conversation","49","to interact"
"kill animals for food","35","to interact with animals"
"grab the microphone","39","to make loud noises"
"exercise without rest","10","to move around"
"explore","10","to move around"
"get grease on your clothes","6","to manage clothing"
"cover your face with your hands","14","to use your hands"
"dance the lindy hop","45","to dance"
"hang out in the lobby","33","to enter spaces"
"leave your drink unattended","1","to consume beverages"
"sell weapons","2","to buy"
"keep score of the rounds","23","to check"
